S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Classified Rating,Our Rating
211,NIMRA COLLEGE OF ENGG AND TECHNOLOGY,3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,http://nimracet.in,50,2.3,40000,17.17,607,l,https://youtu.be/1fPWJgW2JOc?feature=shared,-0.08125,1
496,M. S. College,3.6,M,"{'ba', 'bca', 'bba', 'btech'}",Good,Good,West Champaran,Bihar,https://mscollege.net/,50,2.4,33480,17.16,608.5,vl,https://youtu.be/BxUlnyxAmuU?feature=shared,0.21484375,3
461,Veer Kunwar Singh University,3.6,"M,L","{'ba', 'bcom', 'btech'}",Good,Good,Bhojpur,Bihar,https://vksu.ac.in/,50,2.4,5000,17.16,608.5,vl,https://youtu.be/2mlndpsCnLo?feature=shared,-0.072727273,1
503,Government Girls College,3,PW,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,Bemetara,Chhattisgarh,http://lpbggcbemetara.in/,51,2,10000,17.1,610,vl,https://www.instagram.com/explore/locations/216053322096186/govt-college-bemetara/,,n/a
734,Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Katni,Madhya Pradesh,https://katni.nic.in/en/public-utility-category/colleges/,50,2.3,5000,17.09,611,vl,,,n/a
670,Government First Grade College,3.2,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Bad,Mandya,Karnataka,https://collegedunia.com/college/56337-government-first-grade-college-mandya,50,2.6,6000,17.06,612,vl,https://youtu.be/XaPHYFMBaU4?feature=shared,0,2
418,Jawaharlal Nehru College,2.5,AS,"{'ma', 'ba', 'bcom', 'bsc'}",Bad,Good,East Siang,Arunachal Pradesh,https://www.jncpasighat.edu.in/,52,1.5,6740,17.05,613,vl,https://youtu.be/RYANELpKFOo?feature=shared,0,2
167,"KAKINADA INSTITUTE OF
 TECHNOLOGY AND SCIENCE",3.3,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,http://www.kitsdivili.ac.in/,50,2.4,40000,17.04,614,l,https://youtu.be/onD-vRGOGn8?feature=shared,0.158008658,3
620,Godda College,2.9,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Godda,Jharkhand,https://goddacollege.org/,50,2.9,20000,17.03,615,vl,https://youtu.be/PiwIctfa48c?feature=shared,0,2
558,A.S. College,3.2,AS,"{'ba', 'bca', 'ma', 'bcom', 'bvoc'}",Average,Good,Ambala,Haryana,https://www.asckhn.com/,50,2.1,49000,16.91,616,l,,,n/a
447,Majuli College,3,M,"{'ba', 'bsc'}",Bad,Good,Majuli,Assam,https://majulicollege.in/,50,2,14610,16.8,617,vl,,,n/a
463,C.M. College,3,M,"{'ba', 'bba', 'be.d', 'bca', 'bcom', 'bsc'}",Bad,Good,Begusarai,Bihar,https://www.gdcollegebegusarai.com/index.php,50,1.9,789,16.77,618,vl,,,n/a
639,Sahibganj College,2.9,AS,"{'ba', 'msc', 'ma', 'bcom', 'bsc'}",Bad,Good,Sahibganj,Jharkhand,https://www.sahibganjcollege.in/,50,2,5000,16.76,619,vl,https://youtu.be/dFpc_dSf534?feature=shared,0.116507937,2
132,INDIRA INST OF TECHNOLOGY SCI,3,E,"{'ece', 'eee', 'mec', 'cse'}",Bad,Good,Markapuram,Telangana,https://www.indiraeducational.org,50,1.8,40000,16.74,620,l,https://youtu.be/HhmHCt21ykE?feature=shared,0.061666667,2
468,Magadh University,3.6,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Bodh Gaya,Bihar,https://www.magadhuniversity.ac.in/,48,2.9,82000,16.71,621,h,https://youtu.be/5CjDn0QpR8I?feature=shared,0.217628205,3
469,M. J. K. College,3.6,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Bettiah,Bihar,https://www.mjkcollege.ac.in/,48,2.8,1500,16.68,622,vl,https://youtu.be/3iexde2BALo?feature=shared,0.31,4
489,Rajendra College,3.8,M,"{'ba', 'bcom', 'bsc'}",Good,Good,Saran,Bihar,https://www.rcc.ac.in/admissions,46,4.5,12168,16.67,623,vl,https://youtu.be/u5y4K0A2naY?feature=shared,0.05275,2
471,Arvind Mahila College,3.4,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Patna,Bihar,https://samcpatna.ac.in/,50,1,1599,16.66,624,vl,https://youtu.be/X6S-O-VGnYo?feature=shared,0.009450549,2
701,Government Girls' College,3.2,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Agar Malwa,Madhya Pradesh,https://agarmalwa.nic.in/en/public-utility-category/colleges/,48,3.2,5000,16.64,625,vl,,,n/a
707,Government Degree College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,Good,Barwani,Madhya Pradesh,https://barwani.nic.in/en/public-utility-category/colleges/,50,1.3,10000,16.59,626,vl,,,n/a
416,Rang Frah Government College,2.6,M,{'ba'},Bad,Good,Changlang,Arunachal Pradesh,https://www.rfgc.in/,50,1.4,2570,16.46,627,vl,,,n/a
725,Government Degree College,3.2,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Guna,Madhya Pradesh,https://pgcollegeguna.in/,48,2.3,5000,16.37,628,vl,,,n/a
763,Government SMS PG College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Shivpuri,Madhya Pradesh,https://www.govtsmspgcollegeshivpuri.org/,48,2,7000,16.2,629,vl,https://youtu.be/3pplnMRJEMM?feature=shared,0,2
738,Government Degree College,3,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Average,Good,Mandla,Madhya Pradesh,http://www.mphighereducation.nic.in/mandla,47,2.9,5000,16.17,630,vl,,,n/a
706,Government PG College,3.5,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Balaghat,Madhya Pradesh,https://balaghat.nic.in/en/public-utility/school-education/,46,3.1,5000,16.13,631,vl,https://youtu.be/y2C2J6-39fc?feature=shared,0,2
798,Dadasaheb Aher College of Engineering,3.9,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,Good,Nandurbar,Maharashtra,https://www.dacoe.ac.in/academics/Courses-Offered,45,3.5,76536,16.11,632,h,,,n/a
