S.No,inst_name,Rating,Category,Course,Infra,Faculty,District,State,Links,Placement %,ALP,Fee,Combined Score,Rank,FeeCategory,S links,Our Rating
323,"S R K R ENGINEERING COLLEGE-2ND
 SHIFT",4.4,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,West Godavari,Andhra Pradesh,https://srkrec.edu.in,76.0,4.2,77000,25.82,133.0,h,,n/a
19,"ANANTHA LAKSHMI INST OF
 TECHNOLOGY AND SCI",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Anantapur,Andhra Pradesh,http://www.alits.ac.in/,75.0,6.0,50200,25.82,134.0,m,,n/a
581,Government College,4.2,AS,"{'ba', 'mcom', 'msc', 'ma', 'bcom', 'bsc'}",VGood,Good,Panchkula,Haryana,http://gcpanchkula.ac.in/,78.0,2.3,4630,25.77,135.0,vl,,n/a
688,CMS College,4.1,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Kottayam,Kerala,https://cmscollege.ac.in/,78.0,2.3,200000,25.73,136.0,vh,,n/a
134,JAGANS COLLEGE OF PHARMACY,3.0,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Bad,Good,Nellore,Andhra Pradesh,https://www.jaganscollegeofpharmacy.in,80.0,1.5,46670,25.65,137.0,l,,n/a
0,ABR COLLEGE OF ENGG AND TECHNOLOGY,3.7,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,https://abrcet.edu.in/,75.0,5.5,42100,25.63,138.0,l,,n/a
403,"VALLABHANENI VENKATADRI INST OF
 PHARM SCIENCES",4.0,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Krishna,Andhra Pradesh,https://vvipsgudlavalleru.ac.in/,76.0,3.9,181200,25.57,139.0,vh,,n/a
585,Yamuna Institute of Engineering & Technology,3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Yamunanagar,Haryana,https://yamuna.edu.in/home/engineering-technology/,78.0,2.1,73895,25.55,140.5,h,,n/a
569,National Institute of Technology,4.1,AS,"{'ba', 'mcom', 'msc', 'mca', 'ma', 'bcom', 'eee', 'cse', 'bsc', 'mec', 'ece'}",Good,VGood,Panipat,Haryana,https://nitkkr.ac.in/,77.0,2.7,1520,25.55,140.5,vl,,n/a
376,"SHRI VISHNU ENGG. COLLEGE FOR
 WOMEN",4.6,EW,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,West Godavari,Andhra Pradesh,https://svecw.edu.in,75.0,4.0,105000,25.54,142.0,vh,,n/a
124,"GAYATHRI VIDYA PARISHAD COLL. OF
 ENGINEERING",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Visakhapatnam,Andhra Pradesh,gvpce.ac.in,75.0,4.7,105000,25.51,143.0,vh,,n/a
650,Bidar Institute of Medical Sciences,4.4,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,Good,Bidar,Karnataka,https://bimsbidar.karnataka.gov.in/english,76.0,3.1,50000,25.49,144.0,l,,n/a
368,"SR VENKATESWARA COLL OF
 ENGINEERING",4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Kanchipuram,TamilNadu,https://www.svce.ac.in,75.0,4.2,40000,25.48,145.0,l,,n/a
256,RAGHU ENGINEERING COLLEGE,4.4,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Visakhapatnam,Andhra Pradesh,https://www.raghuenggcollege.com,75.0,4.0,80800,25.46,146.5,h,,n/a
333,SANSKRITHI SCHOOL OF ENGINEERING,4.4,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Anantapur,Andhra Pradesh,https://www.sseptp.org,75.0,4.0,40000,25.46,146.5,l,,n/a
392,"V R SIDDHARTHA ENGINEERING
 COLLEGE",4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Krishna,Andhra Pradesh,https://www.shiksha.com/college/velagapudi-ramakrishna-siddhartha-engineering-college-vijayawada-21486,75.0,4.1,105000,25.45,148.5,vh,,n/a
377,"VISHNU GRP OF INSTNS - VISHNU
 INST OF TECHNOLOGY",4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,West Godavari,Andhra Pradesh,https://vishnu.edu.in,75.0,4.1,103000,25.45,148.5,vh,,n/a
226,"JNTUA-OIL TECHNOLOGICAL
 RESEARCH INSTITUTE",4.3,E,"{'ece', 'eee', 'mec', 'cse'}",VGood,VGood,Anantapur,Andhra Pradesh,https://www.jntua.ac.in,75.0,4.0,40000,25.42,150.0,l,,n/a
683,University College,4.1,"AS,M","{'ba', 'mcom', 'bba', 'bca', 'msc', 'ma', 'bcom', 'bsc'}",Good,VGood,Thiruvananthapuram,Kerala,http://universitycollege.ac.in/,76.0,3.1,1225,25.37,151.0,vl,,n/a
411,YELAMARTY B. PHARMACY COLLEGE,4.1,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Visakhapatnam,Andhra Pradesh,https://www.yalamarty.edu.in/,76.0,3.0,35000,25.34,152.0,vl,,n/a
588,Government Post Graduate College,3.8,AS,"{'ba', 'mcom', 'msc', 'mca', 'ma', 'bcom', 'bsc'}",Good,Good,Chamba,Himachal Pradesh,https://gcchamba.edu.in/,77.0,2.4,1586,25.34,153.0,vl,,n/a
47,BABA INST OF TECH AND SCIENCES,3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Visakhapatnam,Andhra Pradesh,https://bitsvizag.com/,75.0,4.2,40000,25.32,154.0,l,,n/a
109,GIET COLLEGE OF ENGINEERING,4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,East Godavari,Andhra Pradesh,https://www.gietec.ac.in,75.0,4.0,51000,25.3,157.0,m,,n/a
232,"PRIYADARSHINI INST OF
 TECHNOLOGY",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Guntur,Andhra Pradesh,https://pitt.ac.in/contact-us/,75.0,4.0,63000,25.3,157.0,m,,n/a
57,"BELLAMKONDA INST OF
 TECHNOLOGY AND SCI",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Prakasam,Andhra Pradesh,"https://bitspodili.com/#:~:text=It%20is%20located%20in%20backdrop,situations%20and%20imports%20education%20accordingly%20.",75.0,4.0,60000,25.3,157.0,m,,n/a
247,"POTTI SRIRAMULU COLLEGE OF ENGG
 AND TECHNOLOGY",4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,https://pscmr.ac.in,75.0,4.0,54000,25.3,157.0,m,,n/a
267,RAGHU INST. OF TECHNOLOGY,4.0,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Visakhapatnam,Andhra Pradesh,https://www.raghuenggcollege.com,75.0,4.0,70000,25.3,157.0,m,,n/a
397,"VISAKHA INST OF ENGG AND
 TECHNOLOGY",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Visakhapatnam,Andhra Pradesh,https://www.viet.edu.in,75.0,4.2,40000,25.28,160.0,l,,n/a
711,Barkatullah University,4.0,AS,"{'ba', 'mcom', 'd.pharm', 'b.pharm', 'msc', 'm.pharm', 'ma', 'bcom', 'diploma', 'eee', 'cse', 'bsc', 'llb', 'mec', 'ece'}",VGood,VGood,Bhopal,Madhya Pradesh,http://www.bubhopal.ac.in/1111/About-the-University,75.0,3.9,20000,25.27,161.0,vl,,n/a
364,VAGDEVI COLLEGE OF PHARMACY,4.3,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Guntur,Andhra Pradesh,https://vagdevigurazala.in,75.0,3.5,120000,25.27,162.0,vh,,n/a
367,VEMU INSTITUTE OF TECHNOLOGY,3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,vemu.org,75.0,4.0,40000,25.26,164.0,l,,n/a
341,SREE VENKATESWARA COLL OF ENGG,3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,https://www.svce.ac.in,75.0,4.0,43000,25.26,164.0,l,,n/a
339,"SRI VENKATESWARA COLL OF
 ENGINEERING",3.9,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,https://svcetedu.org/,75.0,4.0,74500,25.26,164.0,h,,n/a
27,"ANU COLL OF PHARMACEUTICAL
 SCIENCES",4.1,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",VGood,VGood,Guntur,Andhra Pradesh,https://nagarjunauniversity.ac.in/404,75.0,3.7,40000,25.25,166.5,l,,n/a
196,"MRR COLLEGE OF PHARMACY
 NANDIGAMA",3.5,P,"{'m.pharm', 'b.pharm', 'd.pharm'}",Good,Good,Krishna,Andhra Pradesh,www.mrrpharmacy.edu.in,76.0,3.5,33750,25.25,166.5,vl,,n/a
344,"SWAMY VIVEKANANDA ENGINEERING
 COLLEGE",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,North 24 Parganas,West Bengal,https://www.swamivivekanandauniversity.ac.in/,75.0,4.0,57500,25.22,169.0,m,,n/a
353,S V U COLLEGE OF ENGG. TIRUPATHI,3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Chittoor,Andhra Pradesh,https://svuce.edu.in,75.0,4.0,40000,25.22,169.0,l,,n/a
337,"SRI SUNFLOWER COLLEGE OF ENGG
 AND TECHNOLOGY",3.8,E,"{'ece', 'eee', 'mec', 'cse'}",Good,Good,Krishna,Andhra Pradesh,https://www.sunflowercet.edu.in/,75.0,4.0,57000,25.22,169.0,m,,n/a
